"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","25000000000","No"
"0x006b7cb21bfa70e6a1f7b557da16fc24e5f965ea","3000000000","No"
"0x0204a226aa2e90a0d8fd27939b1a6075158eadcd","11538461.54","No"
"0x13dda10fc0e4bf9b4915c681590d4e59e7e43279","307692307.7","No"
"0x376e0ea84760c473a30aaa04d6b615f799f10aea","18411138938.8","No"
"0x377ac2a3ada0952e54f538e51865dfc5fabcaed7","154315384.6","No"
"0x43ad69276e46d0de63ae9c34510e0982e628bc26","269230769.2","No"
"0x443c54217cd83ca69bbb73ba9de81636ace6fab7","384615384.6","No"
"0x57967be4b1778512b34f6dcd4344e30e62887dde","27001538.458","No"
"0x600d08d97367d9fc4a2c1eaee417f5ad0f55c8ab","10","No"
"0x74712dfe822c33303d1c0e5b49cce29f84bcbb8e","35938461.54","No"
"0x9a25ba57c02c7c0af0099f876da29c6051b16795","384615384.6","No"
"0xbbfa0a6db68bc4dd4d443f1e161702d747923e22","384622930.792","No"
"0xc00005f9a29aca2c2462c8a548faaf8d1c761cb9","1499999","No"
"0xd5c08681719445a5fdce2bda98b341a49050d821","1418233504.6","No"
"0xed9a912182745fe101ecb4291d00b802d982ba0f","153846153.8","No"
"0xfc110131f24c3cd7094faf9e51635a22be30d8a0","55710770.77","No"
